TV ONE,Apa Kabar Indonesia Malam,2023.11.07 18:00:00,2023.11.07 19:59:59,News,FUSENRmfd0
TV ONE,Catatan Demokrasi,2023.11.07 20:00:00,2023.11.07 21:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.07 21:30:00,2023.11.07 21:59:59,News,FUSENRmfd0
TV ONE,Buru Sergap,2023.11.07 22:00:00,2023.11.07 22:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.07 22:30:00,2023.11.07 23:29:59,News,FUSENRmfd0
TV ONE,Kabar Arena Malam,2023.11.07 23:30:00,2023.11.07 23:59:59,News,FUSENRmfd0
TV ONE,AB Shop,2023.11.08 00:00:00,2023.11.08 00:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.08 00:30:00,2023.11.08 00:59:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.08 01:00:00,2023.11.08 01:29:59,News,FUSENRmfd0
TV ONE,Kabar Petang,2023.11.08 01:30:00,2023.11.08 02:59:59,News,FUSENRmfd0
TV ONE,Kabar Utama 2,2023.11.08 03:00:00,2023.11.08 03:29:59,News,FUSENRmfd0
TV ONE,Kabar Hari Ini,2023.11.08 03:30:00,2023.11.08 03:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.08 04:00:00,2023.11.08 04:29:59,General Entertainment,FUSENRmfd0
TV ONE,Kabar Pagi,2023.11.08 04:30:00,2023.11.08 05:59:59,News,FUSENRmfd0
TV ONE,Kabar Arena Pagi 2,2023.11.08 06:00:00,2023.11.08 06:29:59,General Entertainment,FUSENRmfd0
TV ONE,Apa Kabar Indonesia Pagi,2023.11.08 06:30:00,2023.11.08 08:29:59,News,FUSENRmfd0
TV ONE,Kabar Utama Pagi,2023.11.08 08:30:00,2023.11.08 09:29:59,News,FUSENRmfd0
TV ONE,Hidup Sehat,2023.11.08 09:30:00,2023.11.08 09:59:59,General Entertainment,FUSENRmfd0
TV ONE,Inspirasi Pagi,2023.11.08 10:00:00,2023.11.08 10:29:59,General Entertainment,FUSENRmfd0
TV ONE,Ragam Perkara Siang,2023.11.08 10:30:00,2023.11.08 10:59:59,News,FUSENRmfd0
TV ONE,Kabar Siang,2023.11.08 11:00:00,2023.11.08 12:59:59,News,FUSENRmfd0
